country_code,country_name,year,gdp_per_capita_usd,internet_users_pct,electricity_access_pct,life_expectancy_years,urban_population_pct,trade_pct_gdp,unemployment_pct,inflation_pct,population_total,fdi_pct_gdp,education_spend_pct_gdp,region,income_level,lending_type
DZA,Algeria,2021,4160.55926736925,72.21240234,99.8,75.208,73.6199218261573,46.8370592599607,13.656,7.22606307415477,44761099.0,0.466728479682941,5.51403281769924,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,IBRD
DZA,Algeria,2022,4960.30334332888,74.78150177,100.0,76.129,74.1795862354514,51.1900893683897,12.382,9.26551551551552,45477389.0,0.107187812155079,4.74924673000603,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,IBRD
DZA,Algeria,2023,5370.477235078,76.19760132,100.0,76.261,74.732808364138,43.7397984507007,11.645,9.32217375928322,46164219.0,0.489819143410423,5.61015717726636,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,IBRD
ASM,American Samoa,2015,12727.4102651386,,,72.654,84.668670649093,162.407132243685,,,52878.0,,,East Asia & Pacific,High income,Not classified
ASM,American Samoa,2016,12843.3342903627,,,72.64,84.2862824389061,159.165424739195,,,52245.0,,,East Asia & Pacific,High income,Not classified
ASM,American Samoa,2017,11863.6839452565,,,72.801,83.8890385422071,161.437908496732,,,51586.0,,,East Asia & Pacific,High income,Not classified
ASM,American Samoa,2018,12552.0546868861,,,72.794,83.4779973316097,171.830985915493,,,50908.0,,,East Asia & Pacific,High income,Not classified
ASM,American Samoa,2019,12886.1359517218,,,72.751,83.0542171797274,156.568778979907,,,50209.0,,,East Asia & Pacific,High income,Not classified
ASM,American Samoa,2020,14489.2586563775,,,72.672,82.6240780620716,154.368932038835,,,49761.0,,,East Asia & Pacific,High income,Not classified
ASM,American Samoa,2021,15236.1604875571,,,72.708,82.2127091544092,136.8,,,49225.0,,,East Asia & Pacific,High income,Not classified
ASM,American Samoa,2022,18017.4589383973,,,72.752,81.794797704649,124.684270952928,,,48342.0,,,East Asia & Pacific,High income,Not classified
ASM,American Samoa,2023,,,,72.852,81.3721542708222,,,,47521.0,,,East Asia & Pacific,High income,Not classified
AND,Andorra,2015,38654.95287916,87.90000153,100.0,84.532,88.5180850122057,,,,72174.0,,3.28034996986389,Europe & Central Asia,High income,Not classified
AND,Andorra,2016,40129.8385811474,89.69999695,100.0,84.489,88.5027454634853,,,,72181.0,,3.23707008361816,Europe & Central Asia,High income,Not classified
AND,Andorra,2017,40672.9717424447,91.5674670273926,100.0,84.359,88.4977035522461,,,,73763.0,,3.21708989143372,Europe & Central Asia,High income,Not classified
AND,Andorra,2018,42819.7577456133,93.5,100.0,84.242,88.5080998493791,,,,75162.0,,3.2467200756073,Europe & Central Asia,High income,Not classified
AND,Andorra,2019,41257.816459345,90.71869659,100.0,84.098,88.5391793666245,,,,76474.0,13.3818072686093,3.15060997009277,Europe & Central Asia,High income,Not classified
AND,Andorra,2020,37361.1070081615,93.20570374,100.0,79.418,88.5907780427517,,,,77380.0,9.43228499707799,2.63213046553066,Europe & Central Asia,High income,Not classified
AND,Andorra,2021,42425.7066454357,93.89749908,100.0,82.331,88.6627318165299,,,,78364.0,14.5826559404996,2.381921736037,Europe & Central Asia,High income,Not classified
AND,Andorra,2022,42414.0479861228,94.05169678,100.0,84.016,88.7548766267286,,,,79705.0,17.5702350620217,2.64727997779846,Europe & Central Asia,High income,Not classified
AND,Andorra,2023,46812.4261013102,94.21499634,100.0,84.041,88.8201609217082,,,,80856.0,7.28597529959797,1.89867997169495,Europe & Central Asia,High income,Not classified
AGO,Angola,2015,3641.72893919944,22.0,42.0,61.042,63.51567832685,54.9793808779835,16.472,9.35597215533783,28157798.0,9.7795154502448,3.48689580393413,Sub-Saharan Africa,Lower middle income,IBRD
